Post Id,Scrape Date,Item nr,Main category,Subcategory,Post title,Post date,Vendor,New Post,Post status,Title bold,Vendor nr,Views,Sales,Quantity left,Autodispatch,Price USD,Price BTC,Pay methods 
1,Aug 05 2019,12298,Fraud,Other,Personal (Custm-made) Domain cPanel,Post date,makekota,New Post,2,2,111,375,0,Unlimited,2,60.00,0.005704,btc ltc xmr  
2,Aug 05 2019,12299,Fraud,Other,QUEBEC DL GENERATOR SERVICES,Post date,makekota,New Post,2,2,111,352,0,Unlimited,2,50.00,0.004753,btc ltc xmr  
3,Aug 05 2019,85695,Fraud,Dumps,High Credit USA Fullz | GUARANTEED +700 BEST QUALITY + LOAN FRAUD TUTORIAL UP TO 50 000$ fraud,Post date,ICON,New Post,2,2,1,8,0,Unlimited,1,60.99,0.005798,btc ltc xmr  
4,Aug 05 2019,87262,Fraud,Dumps,Extractor/Stealer/Crack Pack . This Mega Hack Pack Includes: Remote Administration Tools (RATs) DARK,Post date,kingkamari,New Post,2,2,2,3,0,Unlimited,1,2.00,0.000190,btc ltc xmr  
5,Aug 05 2019,13164,Fraud,Other,&#x2605 Use Zeus Bot to Hack Bank Accounts &#x2605,Post date,sixandeight,New Post,2,2,2182,443,0,Unlimited,1,6.00,0.000570,btc  
6,Aug 05 2019,76433,Fraud,Dumps,-== Netflix Premium ULTRA HD Account ==-,Post date,ixorex,New Post,2,2,29,93,0,Unlimited,2,5.00,0.000475,btc  
7,Aug 05 2019,87510,Fraud,Dumps,HOT! Th3_Ca$hier Presents to You USA Merchant CC Checking Phone Numbers! V/MC AMEX DISC,Post date,TheCashier,New Post,2,2,0,3,0,20,1,10.00,0.000951,btc ltc xmr  
8,Aug 05 2019,76478,Fraud,Dumps,Fresh Hacked Paypal accounts  [Verified],Post date,flexowned,New Post,2,2,34,80,0,Unlimited,2,10.00,0.000951,btc ltc xmr  
9,Aug 05 2019,14291,Fraud,Other,66 high-end carding/fraud tutorials ,Post date,sixandeight,New Post,2,2,2182,350,0,Unlimited,1,7.00,0.000665,btc  
10,Aug 05 2019,14318,Fraud,Other,Surprize!! Random Valuable Product Packs! ,Post date,sixandeight,New Post,2,2,2182,377,0,Unlimited,2,5.00,0.000475,btc  
